fiber_number, frd_throughput, flux_throughput, reference_flux_ratio, flux_throughput_corrected, total_throughput
141,0.7254317230343572,0.67324653386645,0.82049861106157,0.8205334229577748,0.5952409748235375
142,0.7356170058366591,0.6600544556349058,0.8198461662249669,0.8050954957491209,0.592241937995549
143,0.6987045204678978,0.6792135994845684,0.8202088696705262,0.8280983351928456,0.5785960501911817
144,0.7239374960858262,0.6762309890796059,0.8248911552774468,0.8197820824641524,0.5934709881151228
145,0.727427442706802,0.66172659387208,0.8092649428229003,0.8176884464608426,0.5948090155399085
146,0.7203051867637337,0.6611204563634534,0.8089097517717843,0.8172981657290908,0.5887041079071497
147,0.6915517551390125,0.6501040967843902,0.8154224117974893,0.7972605209014588,0.5513469125324472
148,0.7270135544555755,0.6672979291727373,0.8115447229573511,0.822256506999437,0.5977916258278865
149,0.7053211053929932,0.6637247486635233,0.8044886550184727,0.8250268596370484,0.5819088566181128
150,0.7243179652412595,0.6558420495775144,0.8063114256911135,0.8133855340265985,0.5891497549628211
151,0.7007367927876058,0.6715380287389978,0.8058070042860356,0.833373283139921,0.5839753216223456
152,0.721602942587933,0.6555085977399939,0.8022158625548881,0.8171224583522164,0.5896379704016451
153,0.7308890127078504,0.6525324856868574,0.8085366500661809,0.8070536884548719,0.5898666735570105
154,0.7116165935526683,0.6590003789644573,0.8104667091502684,0.8131122124132457,0.5786241427735875
155,0.6675075597012184,0.6686956570731712,0.8069475999803782,0.8286729610317092,0.5531454660086591
156,0.6735228387573393,0.6670316696503348,0.8107432394476675,0.8227409581666835,0.554134825706358
157,0.6602156159616909,0.8162488024372225,0.9921316587283594,0.8227222619661483,0.5431740849493761
158,0.6701648181623843,0.7957414160140017,0.9800359722097818,0.8119512329937917,0.5441411504160081
159,0.7207433758811033,0.8178179174855258,0.994645768326142,0.8222202753265675,0.5926098169567604
160,0.6824078263006943,0.7800451393570654,0.9848066422515147,0.7920794863585473,0.5405212405433067
161,0.7289439541278153,0.8234375938158756,0.9926766953457532,0.8295123655835085,0.6046680237663606
162,0.7113715867492979,0.8259428282691961,0.9948532772980175,0.8302157183543933,0.590591872909973
163,0.7559826557084174,0.7546151813659003,0.9878194079867593,0.7639201814265378,0.5775104075040901
164,0.6941691950394902,0.8289901109496667,0.9895316703378105,0.8377600594295911,0.5815472260904747
165,0.7032119008427318,0.8060780064781626,0.9878023608327033,0.8160316662926886,0.5738431792015434
166,0.706033050252131,0.8186740695933511,0.9906544000888431,0.8263972476374519,0.5834637694694359
167,0.7283546010778208,0.817139694410104,0.9934288392054893,0.8225447683435733,0.5991042666155318
168,0.7097017202837013,0.8219364986742927,0.9930124093216558,0.8277202691110094,0.5874344989017715
169,0.682708356271516,0.8177034221959512,0.9808943410874851,0.8336304818410823,0.5691264959955572
170,0.7140051925053885,0.7934703536271092,0.9823279692023447,0.8077448454118752,0.5767340138435413
171,0.7328406968006258,0.7903324731919019,0.9876015972176645,0.8002543489383553,0.5864589546937155
172,0.6770530662013633,0.7693969375645319,0.9894776207848943,0.7775789178073725,0.5264621905150194
173,0.666736312297554,0.7772440391876614,0.9812581222882047,0.7920892796028011,0.5281146852927978
174,0.6760593183915532,0.7829854732009319,0.974816293147705,0.8032133630764964,0.5430198787644833
175,0.705554888504242,0.7817459937237116,0.9824886321871508,0.7956794288636609,0.5613955107170192
176,0.6928921079856973,0.7924131546493631,0.9814877192234435,0.8073592151273408,0.5594128284712613
177,0.7426135217812883,0.7952700606052229,0.9850550158876314,0.8073356795088306,0.5995383922197421
178,0.7224750687420834,0.8060525041180749,0.9871920950620313,0.8165102902970731,0.5899083281109964
179,0.6979688298211322,0.8198336928517447,0.9842709469911902,0.8329349711661078,0.5813626471419068
180,0.716743887248602,0.8146138219441384,0.9835136008689849,0.8282689951866301,0.5936567392975589
181,0.7072035615520769,0.7997117027312761,0.9753447247149208,0.8199272344093729,0.5798554603878531
182,0.7325525799296987,0.8089022512570178,0.9814607287782221,0.8241819846057264,0.6037566391545042
183,0.6476983569853269,0.7845730000983236,0.9820419700432911,0.7989200299287998,0.5174591907475519
184,0.7294594391012338,0.812786518800367,0.9766364450103898,0.8322303790247355,0.6070783054863907
185,0.7203225429127377,0.8229176945450363,0.9811700125718946,0.8387106046871132,0.6041421555361013
186,0.7146753686197055,0.80791051463674,0.9808205209974796,0.8237088206669119,0.5886844050454281
187,0.7233448128664556,0.8060736518404605,0.9753704435890111,0.826428212110263,0.5977925604364576
188,0.6825042392440397,0.7960862225253492,0.9732310440065218,0.8179827672246083,0.5582767062593657
189,0.6913362916653871,0.8069509376879905,0.9839885490054918,0.8200816345917525,0.5669521961215512
190,0.6253429264918281,0.8308174977198068,1.0097792269595316,0.8227714291780565,0.5145142933560697
191,0.6234625581126378,0.8342875685943888,1.0202658684769415,0.8177158467917954,0.5098152136500547
192,0.6966616122414998,0.8307437306198718,1.020920407747967,0.8137203687135581,0.5668877439817351
193,0.7014498652726087,0.8334549807943112,1.016887381523739,0.8196138490237077,0.574918023973244
194,0.6929432764315613,0.8259569327113835,1.0046525563818212,0.8221319176114017,0.5696907846486071
195,0.7065014320245147,0.831515478936033,1.0000200172091018,0.8314988346499919,0.5874551174069343
196,0.6599981903087835,0.8324289637614694,1.0060669868139556,0.827409083760547,0.5460884979270096
197,0.677343506152018,0.8222145669433402,1.0072751254964678,0.8162760561947615,0.5528992858909014
198,0.7164377125102163,0.8192580709624989,0.9983829439248857,0.8205850029266292,0.5878980424169433
199,0.7137106712770099,0.8289088036988859,0.9964673188806007,0.8318474554991481,0.5936984058643696
200,0.6808472791502975,0.7830854443275594,0.9992466577697086,0.7836758204179386,0.5335635500674307
201,0.6691633377686887,0.7559951974958116,0.9991972298018031,0.7566025754952982,0.50629070478282
202,0.6626727280796754,0.7787845938477391,0.9975280259421323,0.7807144998379397,0.5173582074589668
203,0.6854684965626255,0.7846315724878565,0.9971625308125704,0.7868642756246305,0.5393706720112549
204,0.7055848511688816,0.7789861061490084,0.994522008442979,0.7832768903411067,0.5526683080953542
205,0.6683531720199224,0.7880383399012116,0.9917889002354772,0.7945625724527773,0.5310484156671231
206,0.699784880002286,0.7758684433553437,0.9918246065728524,0.7822637573353589,0.5474163495570615
207,0.6618979205525084,0.6904468990540075,0.9922275995868,0.6958553655850078,0.4605852194860222
208,0.6906851158992737,0.7620698713064645,0.9848828782746859,0.7737670012514134,0.534429350938366
209,0.7198196363731328,0.8074143088214651,0.9947881714182517,0.8116444606195398,0.5842376205074247
